Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2025-08-08T19:05:39+10:00,2024-11-03T23:06:50+11:00,7255,Unoccupied,17922,"-37.81184883756141, 144.9865384182138"
2025-08-08T19:05:39+10:00,2024-11-03T18:15:03+11:00,7255,Unoccupied,17919,"-37.811826472780425, 144.98633595445511"
2025-08-08T19:05:39+10:00,2025-08-08T17:33:44+10:00,7258,Unoccupied,23022,"-37.81079078746573, 144.9782811050645"
2025-08-08T19:05:39+10:00,2025-08-08T16:48:51+10:00,7258,Unoccupied,23029,"-37.81043515424458, 144.97833768694665"
2025-08-08T19:05:39+10:00,2024-11-03T19:05:23+11:00,7271,Unoccupied,18149,"-37.81159024126923, 144.9885524432267"
2025-08-08T19:05:39+10:00,2025-06-02T14:24:38+10:00,7768,Unoccupied,65521,"-37.813317682238676, 144.95836438291389"
2025-08-08T19:05:39+10:00,2025-08-08T18:53:24+10:00,7503,Unoccupied,67215,"-37.81122572685261, 144.95801049557127"
2025-08-08T19:05:39+10:00,2025-08-08T18:49:15+10:00,7438,Unoccupied,60731,"-37.82060499655505, 144.95707454621757"
2025-08-08T19:05:39+10:00,2025-08-08T17:21:30+10:00,7638,Unoccupied,51924,"-37.81360118807328, 144.968463917686"
2025-08-08T19:05:39+10:00,2025-08-08T19:02:49+10:00,7764,Unoccupied,65024,"-37.80973872185618, 144.97061187394345"
2025-08-08T19:05:39+10:00,2025-08-08T18:50:01+10:00,7627,Unoccupied,52317,"-37.809278658077574, 144.96660869692508"
2025-08-08T19:05:39+10:00,2025-08-08T18:12:34+10:00,7474,Unoccupied,56711,"-37.819058968305484, 144.95707939795471"
2025-08-08T19:05:39+10:00,2025-08-08T17:55:58+10:00,7474,Unoccupied,56710,"-37.819103666167436, 144.95710014091696"
2025-08-08T19:05:39+10:00,2025-08-08T17:59:17+10:00,7478,Unoccupied,56612,"-37.81989098642812, 144.95746372599973"
2025-08-08T19:05:39+10:00,2025-08-08T18:53:03+10:00,7624,Unoccupied,57315,"-37.812932272699, 144.95426075965474"
2025-08-08T19:05:39+10:00,2024-04-17T07:12:37+10:00,,Unoccupied,57231,"-37.81367830200414, 144.95435473399652"
2025-08-08T19:05:39+10:00,2024-04-09T14:55:35+10:00,7938,Unoccupied,23855,"-37.81180757378434, 144.95220579835848"
2025-08-08T19:05:39+10:00,2024-06-27T16:25:16+10:00,7753,Unoccupied,9638,"-37.80505021640502, 144.94837932386784"
2025-08-08T19:05:39+10:00,2024-06-27T17:08:24+10:00,7753,Unoccupied,9646,"-37.805078584473186, 144.94863255977103"
2025-08-08T19:05:39+10:00,2025-03-04T08:22:13+11:00,7766,Unoccupied,12093,"-37.8005704233594, 144.95403825459493"
2025-08-08T19:05:39+10:00,2025-08-08T18:58:24+10:00,,Unoccupied,64049,"-37.81625035038056, 144.95650205067005"
2025-08-08T19:05:39+10:00,2025-08-08T19:04:49+10:00,7356,Unoccupied,61930,"-37.81520998207401, 144.96723211000312"
2025-08-08T19:05:39+10:00,2025-08-04T08:33:51+10:00,7563,Unoccupied,65811,"-37.80847867623247, 144.97137101372425"
2025-08-08T19:05:39+10:00,2025-08-08T17:08:02+10:00,7592,Unoccupied,53935,"-37.818214172168936, 144.96217590301762"
2025-08-08T19:05:39+10:00,2025-08-08T17:45:31+10:00,7186,Unoccupied,18622,"-37.82111916464275, 144.94295135358377"
2025-08-08T19:05:39+10:00,2024-12-24T20:39:47+11:00,7202,Unoccupied,20595,"-37.81962576701123, 144.94705243729462"
2025-08-08T19:05:39+10:00,2024-12-25T15:19:27+11:00,7202,Unoccupied,20599,"-37.820517767023446, 144.9472064257968"
2025-08-08T19:05:39+10:00,2025-01-10T00:09:48+11:00,7434,Unoccupied,60424,"-37.8185430579414, 144.96338738698418"
2025-08-08T19:05:39+10:00,2025-08-08T18:44:52+10:00,,Unoccupied,61533,"-37.818853903812, 144.95915015842814"
2025-08-08T19:05:39+10:00,2024-12-25T10:26:36+11:00,7165,Unoccupied,15328,"-37.81868158999858, 144.94813305717116"
2025-08-08T19:05:39+10:00,2025-08-08T12:56:06+10:00,7178,Unoccupied,13403,"-37.81993624888711, 144.94344787331164"
2025-08-08T19:05:39+10:00,2025-08-08T15:50:53+10:00,7178,Unoccupied,13427,"-37.81994955721967, 144.9430957375174"
2025-08-08T19:05:39+10:00,2024-02-21T08:22:59+11:00,,Unoccupied,22972,"-37.81030926514917, 144.95584442672424"
2025-08-08T19:05:39+10:00,2025-06-02T19:37:09+10:00,7575,Unoccupied,65624,"-37.814125449194, 144.95553953521332"
2025-08-08T19:05:39+10:00,2025-08-08T15:34:56+10:00,7721,Unoccupied,24047,"-37.80485302791918, 144.95725779308742"
2025-08-08T19:05:39+10:00,2025-08-07T19:53:13+10:00,7721,Unoccupied,23971,"-37.80467502417579, 144.9572892331941"
2025-08-08T19:05:39+10:00,2024-12-25T14:41:02+11:00,7163,Unoccupied,21371,"-37.8201632891837, 144.94866249907489"
2025-08-08T19:05:39+10:00,2025-08-08T18:51:05+10:00,7178,Unoccupied,13424,"-37.81964805208817, 144.94444535775435"
2025-08-08T19:05:39+10:00,2025-08-07T15:22:00+10:00,7674,Unoccupied,51820,"-37.813960062508556, 144.96875447706643"
2025-08-08T19:05:39+10:00,2025-08-08T14:24:58+10:00,,Unoccupied,5959,"-37.81215577410835, 144.9776229495718"
2025-08-08T19:05:39+10:00,2024-04-04T10:25:21+11:00,7537,Unoccupied,63346,"-37.817726326577485, 144.95508703692184"
2025-08-08T19:05:39+10:00,2025-08-08T19:03:06+10:00,7537,Unoccupied,63340,"-37.81760931195645, 144.95549253042145"
2025-08-08T19:05:39+10:00,2025-08-08T17:46:58+10:00,7334,Unoccupied,63512,"-37.812174109350416, 144.9699768645677"
2025-08-08T19:05:39+10:00,2025-08-08T17:27:28+10:00,7335,Unoccupied,64113,"-37.816532645546374, 144.95488564703214"
2025-08-08T19:05:39+10:00,2025-08-08T19:04:17+10:00,7377,Unoccupied,57743,"-37.820240787126615, 144.95569529602255"
2025-08-08T19:05:39+10:00,2025-08-08T18:41:13+10:00,7368,Unoccupied,57738,"-37.820493205830815, 144.95581543628026"
2025-08-08T19:05:39+10:00,2025-08-06T08:21:09+10:00,7245,Unoccupied,25009,"-37.80942204529596, 144.97391364378853"
